objectid,filename,title,creator,date,description,subject,location,,format original,format,type,identifier,language,rights,rightsstatement
Pawpaw1,013.JPG,Pool Day,Winston 'Butch' Edwards,2010,,Dylan; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0906,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw2,110.JPG,Ball Game Blues,Winston 'Butch' Edwards,2010,,Dylan; Stadium; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0907,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw3,386-923-718_9nm8_161.JPG,Graduation Portrait,Winston 'Butch' Edwards,2021,,Dylan,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0908,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw4,Coach E. readies subs @ the touchline.JPG,Sassy on the Sidelines,Winston 'Butch' Edwards,2010,,Dylan; Soccer; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0909,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw5,Diving Goalie!.JPG,Diving Goalie!,Winston 'Butch' Edwards,2010,,Dylan; Soccer; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0910,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw6,DSC00276.JPG,Cute Smile,Winston 'Butch' Edwards,2013,,Dylan; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0911,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw7,DSC00785.JPG,Easter Portrait,Winston 'Butch' Edwards,2015,,Dylan; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0912,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw8,DSC00796.JPG,Up a Tree,Winston 'Butch' Edwards,2015,,Dylan; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0913,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw9,DSC00878.JPG,Candid,Winston 'Butch' Edwards,2016,,Dylan; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0914,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw10,DSC00983.JPG,Lacrosse Baddie,Winston 'Butch' Edwards,2015,,Dylan; Lacrosse; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0915,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
